old_nodeid,capability,contract_ids,v2_nodeids,disposition,old_assertions
tests/test_testitems.py::test_gui_cell_text_binary_roundtrip,单元格显示格式与 parse_int 往返（含 0bc 裸 hex）,C-082;C-084,tests/test_ui_truth_model.py::test_c082_c083_parse_int_forms_and_failure_restores;tests/test_ui_truth_model.py::test_c084_display_format_roundtrips_parse_int;tests/test_truth_edit.py::test_parse_int_forms,删除·v2已覆盖,"assert M._cell_text(5, 3) == ""0b101""；assert M._cell_text(1, 1) == ""1""；assert M._cell_text(0xAB, 8) == ""0xAB""；assert M._parse_int(""0b101"") == 5；assert M._parse_int(""0b0011"") == 3；assert M._parse_int(""0xAB"") == 0xAB；assert M._parse_int(""0bc"") == 0xBC；assert M._parse_int(""0bf"") == 0xBF；assert M._parse_int(""0b11"") == 3"
tests/test_testitems.py::test_gui_header_tooltips_present,清单「反例 / 状态」列头自带说明 tooltip,C-303,tests/test_ui_signal_list.py::test_c303_list_header_tooltips_explain_three_columns,删除·v2已补强(test_c303_…),"assert ""负向"" in w.table.horizontalHeaderItem(gui.COL_NEG).toolTip()；assert w.table.horizontalHeaderItem(gui.COL_STATUS).toolTip()；assert w.table.item(0, gui.COL_STATUS).toolTip()"
tests/test_testitems.py::test_gui_check_selected_rows_and_scope,「勾选选中行」+ 有勾选时批量作用域取勾选行,C-034;C-035,tests/test_ui_signal_list.py::test_c032_c033_c034_bottom_bar;tests/test_ui_signal_list.py::test_c035_c036_bulk_neg_confirm_when_named;tests/test_ui_signal_list.py::test_c035_neg_all_falls_back_to_visible_when_nothing_checked,删除·v2已覆盖,"assert set(checked) >= {0, 2}；assert sorted(w._scope_rows()) == sorted(checked)"
tests/test_testitems.py::test_gui_bulk_neg_scoped_to_checked,批量加反例只作用于已勾选信号,C-035,tests/test_ui_signal_list.py::test_c035_c036_bulk_neg_confirm_when_named;tests/test_ui_signal_list.py::test_c035_neg_all_falls_back_to_visible_when_nothing_checked,删除·v2已覆盖,"assert w._signal_has_negative(""d_logic_bt_lp_reserve"")；assert not any(w._signal_has_negative(o) for o in others)"
tests/test_testitems.py::test_gui_del_neg_confirms_named,删含命名反例前先确认：否不删、是才删,C-103,tests/test_ui_dialogs.py::test_dlg_confirm_c103_del_neg_names_before_count;tests/test_ui_truth_model.py::test_c096_c102_negatives_delegate_to_engine;tests/test_ui_truth_panel.py::test_c090_c095_c103_three_confirms_default_no,删除·v2已覆盖,"assert w._signal_has_named_negative(w._ti_name_low)；assert any(rd.get(""is_negative"") for rd in w._ti_rows)；assert not any(rd.get(""is_negative"") for rd in w._ti_rows)"
tests/test_testitems.py::test_gui_confirm_dup_labels_no_dups_is_silent,无重复标号时不弹确认框,C-164,tests/test_ui_migrated_c5a.py::test_c164_no_dup_labels_means_no_confirm_dialog;tests/test_ui_dialogs.py::test_dlg_dup_labels_c164_lists_label_and_two_signals;tests/test_ui_dialogs.py::test_dlg_dup_labels_c164_accepts_exports_rendered_rows;tests/test_ui_dialogs.py::test_dlg_dup_labels_c164_continue_returns_true;tests/test_ui_export_center.py::test_c164_dup_labels_confirm_before_write,删除·v2已补强(test_c164_no_dup_labels_means_no_confirm_dialog),"assert w._confirm_dup_labels({""dup_labels"": []}) is True；assert w._confirm_dup_labels({}) is True"
tests/test_testitems.py::test_skipped_detail_text_lists_names_and_reasons,完成弹窗逐个点名跳过的信号 + 原因（空原因有兜底文案、不写 CLI）,C-167;C-270;C-271,tests/test_ui_c4_integration.py::test_c4_go_fix_opens_drawer_at_cuvunf;tests/test_ui_export_center.py::test_c165_c166_c167_c199_done_dialog_order;tests/test_ui_export_center.py::test_i20_every_done_text_names_before_counts;tests/test_ui_invariants.py::test_i20_c199_c270_skipped_names_before_counts_everywhere;tests/test_ui_invariants.py::test_i13_c271_c274_no_dev_warnings_on_screen;tests/test_ui_terms_scan.py::test_c271_no_repo_path_git_or_cli_on_screen,删除·v2已覆盖,"assert ""<名>"" in text；assert ""<名>"" in text and ""wire"" in text；assert ""<名>"" in text and ""pll_n1"" in text；assert ""C = int_n：不可驱动"" in text；assert ""缺前缀强制生成"" in text and ""CLI"" not in text"
tests/test_testitems.py::test_gui_bulk_scope_excludes_hidden_checked,勾了但被筛掉(隐藏)的行不进批量作用域,C-035,tests/test_ui_migrated_c5a.py::test_c035_bulk_neg_scope_excludes_checked_but_hidden_rows;tests/test_ui_signal_list.py::test_c035_c036_bulk_neg_confirm_when_named;tests/test_ui_signal_list.py::test_c035_neg_all_falls_back_to_visible_when_nothing_checked,删除·v2已补强(test_c035_bulk_neg_scope_excludes_checked_but_hidden_rows),assert r0 in w._scope_rows()；assert r0 not in w._checked_rows()；assert r0 not in w._scope_rows()
tests/test_testitems.py::test_gui_truthtable_active_column_highlight,当前测试列整列高亮；反例列选中用更深琥珀,C-107,tests/test_ui_truth_model.py::test_c079_c107_c129_roles_states_and_current_col;tests/test_ui_truth_view.py::test_c107_current_col_highlight_roles,删除·v2已覆盖,assert w._ti_hl_col == 0；assert bg(0) == gui.HL_BG.name().lower()；assert w._ti_hl_col == negc；assert bg(negc) == gui.HL_NEG_BG.name().lower()；assert bg(0) != gui.HL_BG.name().lower()；assert bg(others[0]) == gui.NEG_BG.name().lower()
tests/test_testitems.py::test_gui_copy_shortcut_is_widget_scoped,Ctrl+D 挂在真值表上且是 WidgetShortcut,C-109;C-258,tests/test_ui_c3_integration.py::test_c109_ctrl_d_duplicates_column_only_when_grid_has_focus;tests/test_ui_truth_view.py::test_c109_c258_ctrl_d_not_while_editing,删除·v2已覆盖,"assert scs, ""应在 ti_table 上挂 Ctrl+D 的 QShortcut""；assert any(s.context() == QtCore.Qt.WidgetShortcut for s in scs)"
tests/test_testitems.py::test_gui_cascade_help_is_builtin_dialog,级联模式说明窗（程序内置 QTextBrowser 渲染 .md）,C-218;C-219;C-220,tests/test_ui_diagnostics.py::test_c218_c219_c220_cascade_retired,删除·能力退役(C-218/C-219/C-220),"assert dlg is not None and dlg.isVisible()；assert view is not None；assert ""展开上游"" in text and ""force"" in text；assert w._cascade_doc_dlg is dlg"
tests/test_testitems.py::test_gui_clear_logic_zero_tests,logic 一键清空=零用例 + build 给「清空」原因 + 重新生成恢复,C-089;C-090;C-085,tests/test_ui_truth_model.py::test_c089_c085_c094_clear_regen_fill;tests/test_ui_truth_panel.py::test_c089_c094_clear_and_auto_fill_apply_when_confirmed;tests/test_ui_dialogs.py::test_dlg_confirm_c090_clear_text_and_default_is_no;tests/test_ui_truth_panel.py::test_c090_c095_c103_three_confirms_default_no;tests/test_ui_truth_model.py::test_c085_regenerate_is_one_undo_step;tests/test_ui_truth_model.py::test_c085_regenerate_undo_restores_an_too;tests/test_ui_truth_panel.py::test_c085_to_c091_toolbar_actions_route_to_model,删除·v2已覆盖,"assert len(w._ti_rows) >= 1；assert w._ti_rows == []；assert nl in w._edited and w._edited[nl][""rows""] == []；assert sig.out_name not in {st.get(""out_name"") for _l, st in res[""blocks""]}；assert any(n == sig.out_name and ""清空"" in ""; "".join(str(x) for *_h, x in rs) for n, _a, rs in res[""skipped""])；assert len(w._ti_rows) >= 1"
tests/test_testitems.py::test_gui_signal_selection_persisted,信号勾选跨重开自动恢复,C-242,tests/test_ui_state.py::test_c242_c243_checks_persist_and_default_not_written,删除·v2已覆盖,assert set(w1._collect_checked()) == set(names)；assert set(w2._collect_checked()) == set(names)
tests/test_testitems.py::test_gui_max_tests_persisted,用例上限改动写进 settings,C-229;C-230,tests/test_ui_invariants.py::test_i02_c229_c230_five_views_and_legacy_migrates_once;tests/test_ui_state.py::test_c229_c230_coverage_keys_per_view,删除·v2已覆盖,"assert store.get(""max_tests"") == 99"
tests/test_testitems.py::test_full_config_export_import_roundtrip,完整配置导出→导入：勾选/全局档/上限/前缀/强制force/缺前缀开关全部还原,C-190;C-192;C-217;C-247;C-250,tests/test_ui_migrated_c5a.py::test_c192_c193_c217_import_config_applies_global_block;tests/test_ui_export_center.py::test_c190_c191_c192_c193_c194_c195_c247_c250_config_roundtrip;tests/test_ui_export_center.py::test_v1_parity_six_deliverables;tests/test_ui_c4_integration.py::test_c192_empty_state_import_config_opens_center_config;tests/test_ui_export_center.py::test_import_config_button_and_preselect;tests/test_providers.py::test_c217_include_risky_param_default_true_bytes_equal;tests/test_providers.py::test_provider_status_detail_tiers_need_include_risky_and_probe_prefix;tests/test_topout.py::test_c217_include_risky_param_default_true_bytes_equal;tests/test_ui_diagnostics.py::test_c217_risky_toggle_default_true_and_warns_off;tests/test_ui_state.py::test_c217_include_risky_default_true;tests/test_ui_invariants.py::test_i09_c247_c250_config_schema_frozen;tests/test_ui_state.py::test_c247_c250_config_schema_frozen,删除·v2已补强(test_c192_c193_c217_import_config_applies_global_block),"assert saved[""dreg_verify_config""] == 2；assert saved[""global""][""max_tests""] == 77；assert saved[""global""][""include_risky""] is True；assert saved[""excel""] == ""synthetic_dreg.xlsx""；assert saved[""excel_path""] == str(path)；assert nm in saved[""signals_checked""]；assert not w2.include_risky_chk.isChecked()；assert set(w2._collect_checked()) == {nm}；assert w2.max_tests.value() == 77；assert w2.coverage.currentText() == ""全面"" and w2.coverage_mux.currentText() == ""穷举""；assert w2._probe_prefixes.get(""<名>"") == ""U_X.U_Y""；assert ""<名>"" in w2._force_signals；assert w2.include_risky_chk.isChecked()"
tests/test_testitems.py::test_config_excel_mismatch_warns_but_imports,配置源表名不一致时提示但照常导入；缺 include_risky 键保持当前,C-193;C-217,tests/test_ui_migrated_c5a.py::test_c192_c193_c217_import_config_applies_global_block;tests/test_ui_dialogs.py::test_dlg_import_report_c193_c195_notes_on_top;tests/test_ui_export_center.py::test_c190_c191_c192_c193_c194_c195_c247_c250_config_roundtrip;tests/test_providers.py::test_c217_include_risky_param_default_true_bytes_equal;tests/test_providers.py::test_provider_status_detail_tiers_need_include_risky_and_probe_prefix;tests/test_topout.py::test_c217_include_risky_param_default_true_bytes_equal;tests/test_ui_diagnostics.py::test_c217_risky_toggle_default_true_and_warns_off;tests/test_ui_state.py::test_c217_include_risky_default_true,删除·v2已补强(test_c192_c193_c217_import_config_applies_global_block),"assert ""some_other_chip.xlsx"" in captured.get(""msg"", """")；assert ""synthetic_dreg.xlsx"" in captured.get(""msg"", """")；assert w.max_tests.value() == 42；assert w.include_risky_chk.isChecked() == risky_before"
tests/test_testitems.py::test_legacy_edits_import_still_merges,旧版测试项编辑文件仍能导入（合并语义）,C-192,tests/test_ui_c4_integration.py::test_c192_empty_state_import_config_opens_center_config;tests/test_ui_export_center.py::test_c190_c191_c192_c193_c194_c195_c247_c250_config_roundtrip;tests/test_ui_export_center.py::test_import_config_button_and_preselect,删除·v2已覆盖,"assert ""d_logic_bt_lp_reserve"" in w._edited"
tests/test_testitems.py::test_full_config_import_clears_stale_negatives,导入完整配置先清空：残留反例被清掉,C-192,tests/test_ui_migrated_c5a.py::test_c192_c193_c217_import_config_applies_global_block;tests/test_ui_c4_integration.py::test_c192_empty_state_import_config_opens_center_config;tests/test_ui_export_center.py::test_c190_c191_c192_c193_c194_c195_c247_c250_config_roundtrip;tests/test_ui_export_center.py::test_import_config_button_and_preselect,删除·v2已补强(test_c192_c193_c217_import_config_applies_global_block),"assert w2._signal_has_negative(nm.lower())；assert w2.table.item(rr, gui.COL_NEG).checkState() == QtCore.Qt.Unchecked；assert not w2._signal_has_negative(nm.lower())"
tests/test_testitems.py::test_legacy_logic_export_csv_rows,单信号 CSV 行序/行集合（期望(bin)/来源/负向?/force/RF_WRITE）,C-136;C-137;C-138,tests/test_ui_truth_io.py::test_c136_c137_c138_signal_csv_rows;tests/test_ui_truth_io.py::test_c136_c137_c138_signal_csv_matches_v1;tests/test_ui_truth_panel.py::test_c136_export_csv_passes_provider_edited_cov,删除·v2已覆盖,"assert n >= 1；assert labels[0] == ""信号\\测试""；assert len(text.splitlines()[0].split("","")) == n + 1；assert labels[-5:] == [""期望(bin)"", ""期望来源"", ""负向?"", ""force"", ""RF_WRITE""]；assert labels[-6].startswith(""期望(进.sv)"") and labels[-7].startswith(""auto_out"")；assert ""'h"" in rf"
tests/test_testitems.py::test_cleared_logic_stays_zero_in_negative_only_export,清空的信号在「仅负向」导出里仍是零用例,C-089;C-158,tests/test_ui_truth_model.py::test_c089_c085_c094_clear_regen_fill;tests/test_ui_truth_panel.py::test_c089_c094_clear_and_auto_fill_apply_when_confirmed;tests/test_pageviews.py::test_c158_page_sv_neg_scope_without_negatives_is_empty;tests/test_ui_export_center.py::test_c157_c158_c159_c160_c161_sv_row_options_to_exports,删除·v2已覆盖,"assert ov is not None and ov.get(nl) == []；assert sig.out_name not in {st.get(""out_name"") for _l, st in res[""blocks""]}"
tests/test_designer_expected.py::test_vector_asserted_value_priority,断言值优先级：反例错值 > 手填期望 > auto_out（引擎）,C-078;C-104,,保留·非GUI,assert v.asserted_value == 1 and not v.designer_filled；assert v2.asserted_value == 0 and v2.designer_filled and not v2.is_negative；assert v3.asserted_value == 0 and not v3.designer_filled
tests/test_designer_expected.py::test_make_vector_designer_expected_not_negative,手填期望≠auto_out 不标反例（引擎）,C-078,,保留·非GUI,assert not vec.is_negative；assert vec.exp_value == 1；assert vec.designer_expected == 0；assert vec.asserted_value == 0；assert vec.designer_filled
tests/test_designer_expected.py::test_make_vector_designer_expected_same_as_auto,手填值==auto_out 仍算手填（引擎）,C-078,,保留·非GUI,assert not vec.is_negative and vec.designer_filled；assert vec.asserted_value == vec.exp_value == 1
tests/test_designer_expected.py::test_make_vector_designer_expected_masked_to_width,手填期望按输出位宽裁剪（引擎）,C-078,,保留·非GUI,assert vec.designer_expected == 1 and vec.asserted_value == 1
tests/test_designer_expected.py::test_make_vector_unfilled_falls_back_to_auto,未填期望 → auto_out 兜底（引擎）,C-081,,保留·非GUI,assert vec.designer_expected is None and not vec.designer_filled；assert vec.asserted_value == vec.exp_value == 1
tests/test_designer_expected.py::test_negative_override_still_works,反例机制不受手填期望影响（引擎）,C-104,,保留·非GUI,assert neg.is_negative and neg.asserted_value == 0 and not neg.designer_filled
tests/test_designer_expected.py::test_make_negative_avoids_designer_expected,反例错值避开手填期望（引擎）,C-100,,保留·非GUI,"assert neg.neg_value != 5 and neg.neg_value != 10；assert V.make_negative(v2, mode=""invert"").neg_value == 10；assert V.make_negative(v3, mode=""invert"").neg_value == 0"
tests/test_designer_expected.py::test_sv_assert_uses_designer_expected,.sv 断言用手填期望（引擎）,C-132,,保留·非GUI,"assert ""==1'b0)begin"" in text；assert ""==1'b1)begin"" not in text；assert ""_NEG"" not in text and ""NEG-EXPECTED-FAIL"" not in text"
tests/test_designer_expected.py::test_sv_stats_count_designer_filled,stats/summary 统计手填条数（引擎）,C-165,,保留·非GUI,"assert st[""n_vectors""] == 3 and st[""n_negative""] == 1；assert st[""n_designer""] == 1；assert res[""summary""][""n_designer""] == 1"
tests/test_designer_expected.py::test_sv_comments_annotate_designer_filled,comments 模式给手填期望加注释（引擎）,C-159,,保留·非GUI,"assert ""designer-filled expected (matches expression value)"" in text；assert ""does not match designer intent"" in text"
tests/test_designer_expected.py::test_report_tables_have_auto_out_and_designer_flag,报告真值表带 auto_out/designer 标记（引擎）,C-173,,保留·非GUI,"assert tc[""auto_out""] == ""1"" and tc[""expected""] == ""0""；assert tc[""designer_filled""] is True and tc[""neg""] is False；assert tc[""auto_num""] == 1 and tc[""width""] == 1；assert t[""auto_label""].startswith(""auto_out"")；assert d[""auto_out""] == ""1'b1"" and d[""expected""] == ""1'b0""；assert d[""exp_src""] == ""designer手填"""
tests/test_designer_expected.py::test_report_unfilled_marks_fallback,未填期望标 auto_out兜底（引擎）,C-173,,保留·非GUI,"assert all(not tc[""designer_filled""] for tc in t[""tests""])；assert all(tc[""expected""] == tc[""auto_out""] for tc in t[""tests""])；assert all(r[""exp_src""] == ""auto_out兜底"" for r in d)"
tests/test_designer_expected.py::test_report_negative_exp_src,反例期望来源=负向(故意填错)（引擎）,C-173,,保留·非GUI,"assert neg_rows and all(r[""exp_src""] == ""负向(故意填错)"" for r in neg_rows)"
tests/test_designer_expected.py::test_html_report_has_check_tab,HTML 报告「真值表检查」tab（引擎）,C-173,,保留·非GUI,"assert 'data-tab=""chk""' in raw and ""真值表检查"" in raw and 'id=""chk""' in raw；assert 'id=""chk-body""' in raw and 'id=""tt-data""' in raw and 'id=""chk-data""' not in raw；assert 'id=""chkbtn""' in raw and 'id=""chkscore""' in raw；assert 'class=""cauto""' in html；assert ""cquiz"" in html and 'class=""cin""' in html and ""data-v="" in html；assert ""parseVal"" in raw and ""okc"" in raw and ""badc"" in raw"
tests/test_designer_expected.py::test_html_check_tab_mask_and_reanswer,检查 tab 遮盖/可改值重判（引擎）,C-173,,保留·非GUI,"assert ""function maskCell"" in html and ""function unmaskCell"" in html；assert ""data-t"" in html；assert ""color:transparent"" not in html；assert ""readOnly=true"" not in html and ""data-done"" not in html；assert ""okn--"" in html and ""badn--"" in html；assert ""classList.remove('okc','badc')"" in html"
tests/test_designer_expected.py::test_html_report_truth_table_two_rows,HTML 真值表 auto_out / 期望 两行（引擎）,C-173,,保留·非GUI,"assert 'class=""autorow""' in html；assert ""auto_out"" in html；assert 'class=""cquiz dsgn""' in html；assert ""dsgndiff"" in html；assert 'class=""cquiz fb""' in html"
tests/test_designer_expected.py::test_html_report_windowed_lazy_render,HTML 报告窗口化懒渲染（引擎）,C-173,,保留·非GUI,"assert 'id=""tt-body""></div>' in raw；assert 'id=""sum-body""></tbody>' in raw；assert 'id=""chk-data""' not in raw；assert len(blob(""tt-data"")) == len(rep[""tables""])；assert len(blob(""sum-data"")) == len(rep[""summary""])；assert len(blob(""det-data"")) == len(rep[""detail""])；assert '<div class=""ttblock"">' not in shell；assert 'class=""autorow""' not in shell；assert ('id=""%s-body""' % key) in raw and ('id=""%s-nav""' % key) in raw；assert m, ""缺少数据 blob: "" + idv；assert set((""h"", ""t"", ""o"", ""n"")) <= set(it.keys())"
tests/test_designer_expected.py::test_html_report_initial_render,HTML 报告首屏渲染（引擎）,C-173,,保留·非GUI,"assert ""function boot()"" in raw；assert re.search(r""\bboot\(\);"", raw)；assert ""render(active)"" in raw"
tests/test_designer_expected.py::test_html_check_toggle_perf,HTML 检查分帧调度 + 表头不 sticky（引擎）,C-173,,保留·非GUI,"assert ""requestAnimationFrame"" in raw；assert ""function step()"" in raw and ""chkJob"" in raw；assert "".tt thead th{position:static"" in raw；assert ""thead th{position:sticky"" in raw；assert ""content-visibility:auto"" in raw and ""contain-intrinsic-size"" in raw"
tests/test_designer_expected.py::test_html_report_no_owner_filter,HTML 报告「（无 owner）」复选项（引擎）,C-173,,保留·非GUI,"assert ('<label><input type=""checkbox"" class=""ownerck"" value=""__no_owner__"">（无 owner） ×%d</label>' % n_blank) in raw；assert 'id=""ownerbox""' in raw and 'class=""ownerck""' in raw"
tests/test_designer_expected.py::test_html_report_no_owner_filter_absent_when_all_owned,全有 owner 时不出该项（引擎）,C-173,,保留·非GUI,"assert 'value=""__no_owner__""' not in raw"
tests/test_designer_expected.py::test_html_report_owner_multi_select_markup,HTML 报告 owner 多选浮层（引擎）,C-173,,保留·非GUI,"assert '<select id=""owner"">' not in raw；assert 'id=""ownerbox""' in raw and 'id=""ownerbtn""' in raw and 'id=""ownerclr""' in raw；assert '<input type=""checkbox"" class=""ownerck"" value=""Amy"">Amy</label>' in raw；assert '<input type=""checkbox"" class=""ownerck"" value=""Bob"">Bob</label>' in raw；assert ""ownerSel"" in raw and ""readOwnerSel"" in raw"
tests/test_designer_expected.py::test_csv_report_detail_has_auto_out_column,CSV 明细含 auto_out 与期望来源列（引擎）,C-174,,保留·非GUI,"assert ""auto_out(表达式计算)"" in content and ""期望来源"" in content；assert ""auto_out兜底"" in content"
tests/test_designer_expected.py::test_gui_truth_table_split_rows,真值表 = 输入行 + auto_out 只读行 + 期望可编辑行,C-073;C-077;C-078,tests/test_ui_truth_model.py::test_c073_c074_c077_shape_rows_are_inputs_plus_auto_plus_exp;tests/test_ui_truth_model.py::test_c078_c080_c081_exp_and_auto_recompute;tests/test_ui_truth_model.py::test_c078_designer_expected_equal_to_auto_is_recorded,删除·v2已覆盖,"assert w.ti_table.rowCount() == G + 2；assert w.R_AUTO == G and w.R_EXP == G + 1；assert w.ti_table.verticalHeaderItem(w.R_AUTO).text().startswith(""auto_out"")；assert ""期望"" in w.ti_table.verticalHeaderItem(w.R_EXP).text()；assert not (auto_it.flags() & QtCore.Qt.ItemIsEditable)；assert auto_it.text() != """"；assert exp_it.flags() & QtCore.Qt.ItemIsEditable；assert exp_it.text() == """""
tests/test_designer_expected.py::test_gui_fill_expected_not_negative,手填期望(≠auto)不标反例；清空恢复兜底并落到 .sv,C-078;C-081;C-132,tests/test_ui_truth_model.py::test_c078_c080_c081_exp_and_auto_recompute;tests/test_ui_truth_model.py::test_c078_designer_expected_equal_to_auto_is_recorded;tests/test_ui_truth_view.py::test_delete_clears_selected_expected_cells_in_one_undo;tests/test_ui_sv_preview.py::test_c072_c132_dirty_on_edit_and_config;tests/test_ui_truth_model.py::test_c132_edit_roundtrip_matches_v1;tests/test_ui_truth_model.py::test_c132_dft_pitch_col_is_readonly_in_v2,删除·v2已覆盖,"assert rd[""designer_expected""] == wrong_of_auto；assert not rd[""is_negative""]；assert rd[""expected""] == wrong_of_auto；assert rd[""correct""] == auto；assert ""d_logic_bt_lp_reserve"" in w._customized；assert (""==1'b%d)begin"" % wrong_of_auto) in text；assert ""T0_NEG"" not in text；assert rd[""designer_expected""] is None；assert rd[""expected""] == auto"
tests/test_designer_expected.py::test_gui_neg_row_expected_still_wrong_value,反例列的期望行编辑=改错值,C-104,tests/test_ui_truth_model.py::test_c104_neg_broken_kept,删除·v2已覆盖,"assert rd[""expected""] != correct；assert rd[""is_negative""]；assert rd[""wrong_value""] == (correct & 1)；assert rd[""expected""] != correct；assert rd.get(""designer_expected"") is None"
tests/test_designer_expected.py::test_gui_auto_fill_button,「auto→期望」只填未填列，已填/反例不动 + 进度,C-094;C-106,tests/test_ui_truth_model.py::test_c089_c085_c094_clear_regen_fill;tests/test_ui_truth_panel.py::test_c089_c094_clear_and_auto_fill_apply_when_confirmed;tests/test_ui_c3_integration.py::test_c106_truth_progress_syncs_tab_and_header;tests/test_ui_detail_header.py::test_c106_progress_label_and_diff;tests/test_ui_detail_header.py::test_c106_progress_pushed_from_truth_model;tests/test_ui_truth_model.py::test_c106_fill_progress;tests/test_ui_truth_model.py::test_c106_progress_emitted_after_every_write;tests/test_ui_truth_panel.py::test_c106_progress_signal_forwarded,删除·v2已覆盖,"assert (""期望已手填 %d/%d"" % (n_pos, n_pos)) in w.ti_header.text()；assert rd[""designer_expected""] is not None；assert rd[""designer_expected""] == hand_val；assert rd[""designer_expected""] == rd[""correct""]"
tests/test_designer_expected.py::test_gui_header_fill_progress,编辑器头部手填进度 X/Y,C-106,tests/test_ui_c3_integration.py::test_c106_truth_progress_syncs_tab_and_header;tests/test_ui_detail_header.py::test_c106_progress_label_and_diff;tests/test_ui_detail_header.py::test_c106_progress_pushed_from_truth_model;tests/test_ui_truth_model.py::test_c106_fill_progress;tests/test_ui_truth_model.py::test_c106_progress_emitted_after_every_write;tests/test_ui_truth_panel.py::test_c106_progress_signal_forwarded,删除·v2已覆盖,"assert (""期望已手填 0/%d"" % n_pos) in w.ti_header.text()；assert (""期望已手填 1/%d"" % n_pos) in w.ti_header.text()"
tests/test_designer_expected.py::test_gui_copy_column_carries_designer_expected,复制列把手填期望一并带走,C-087,tests/test_ui_truth_model.py::test_c086_c087_c088_c093_column_ops;tests/test_ui_truth_panel.py::test_c085_to_c091_toolbar_actions_route_to_model,删除·v2已覆盖,"assert w._ti_rows[1].get(""designer_expected"") == w._ti_rows[0][""designer_expected""]"
tests/test_designer_expected.py::test_gui_mux_readonly_two_rows,mux 表也拆 auto_out / 期望两行,C-073,tests/test_ui_truth_model.py::test_c073_c074_c077_shape_rows_are_inputs_plus_auto_plus_exp,删除·v2已覆盖,"assert ""auto_out"" in labels and any(""期望"" in x for x in labels)"
tests/test_designer_expected.py::test_serialize_rows_roundtrip,rowdict 序列化往返：留用户意图、丢计算字段,C-235;C-301,tests/test_ui_state.py::test_c300_c235_bucket_merge_preserves_legacy;tests/test_ui_invariants.py::test_i10_c301_c302_zero_values_survive_roundtrip;tests/test_ui_state.py::test_c301_zero_values_survive_roundtrip;tests/test_edits.py::test_serialize_rows_drops_computed_fields,删除·v2已覆盖,"assert back[0][""base_values""] == {""a"": 1, ""b"": 0}；assert back[0][""designer_expected""] == 1 and back[0][""kind""] == ""pos""；assert ""correct"" not in back[0] and ""_vec"" not in back[0]；assert back[1][""kind""] == ""neg"" and back[1][""wrong_value""] == 1；assert back[1][""name""] == ""my_neg"" and back[1][""user_added""]；assert back[2].get(""designer_expected"") is None"
tests/test_designer_expected.py::test_gui_edits_persist_across_reload,编辑(含手填期望/反例)跨重开持久化并落到 .sv,C-234;C-241,tests/test_ui_state.py::test_c234_load_restores_view_edits_and_checks;tests/test_ui_state.py::test_c238_c239_c240_c241_restore_report,删除·v2已覆盖,"assert os.path.isfile(edits_path)；assert ""d_logic_bt_lp_reserve"" in w2._customized；assert len(w2._ti_rows) == n_rows；assert w2._ti_rows[0][""designer_expected""] == hand_val；assert not w2._ti_rows[0][""is_negative""]；assert any(rd.get(""kind"") == ""neg"" for rd in w2._ti_rows)；assert w2.table.item(row, gui.COL_NEG).checkState() == QtCore.Qt.Checked；assert (""==1'b%d)begin"" % hand_val) in text"
tests/test_designer_expected.py::test_gui_regen_clears_persisted,重新生成 → 持久化同步清掉，重开不恢复,C-085;C-241,tests/test_ui_truth_model.py::test_c089_c085_c094_clear_regen_fill;tests/test_ui_truth_model.py::test_c085_regenerate_is_one_undo_step;tests/test_ui_truth_model.py::test_c085_regenerate_undo_restores_an_too;tests/test_ui_truth_panel.py::test_c085_to_c091_toolbar_actions_route_to_model;tests/test_ui_state.py::test_c238_c239_c240_c241_restore_report,删除·v2已覆盖,"assert json.load(open(edits_path, encoding=""utf-8""))；assert not data.get(str(path), {}).get(""edits"")"
tests/test_designer_expected.py::test_gui_export_import_edits_bucket,导出/导入编辑桶：手填期望/反例回来，找不到的点名,C-192;C-194;C-234,tests/test_ui_c4_integration.py::test_c192_empty_state_import_config_opens_center_config;tests/test_ui_export_center.py::test_c190_c191_c192_c193_c194_c195_c247_c250_config_roundtrip;tests/test_ui_export_center.py::test_import_config_button_and_preselect;tests/test_ui_c2_integration.py::test_c194_export_import_missing_names_come_before_the_count;tests/test_ui_c2_integration.py::test_c194_import_report_dialog_puts_names_above_the_count;tests/test_ui_dialogs.py::test_dlg_import_report_c194_names_and_reasons_before_counts;tests/test_ui_dialogs.py::test_dlg_import_report_c194_long_list_is_capped;tests/test_ui_state.py::test_c234_load_restores_view_edits_and_checks,删除·v2已覆盖,"assert n == 1；assert ""ghost_signal_not_in_excel"" in missing；assert ""d_logic_bt_lp_reserve"" in w2._edited；assert rows[0][""designer_expected""] is not None"
tests/test_designer_expected.py::test_set_negatives_preserves_designer_expected,加反例重建行列表时正向行手填期望原样保留,C-101;C-153,tests/test_ui_truth_model.py::test_c096_c102_negatives_delegate_to_engine;tests/test_ui_truth_panel.py::test_c101_c122_all_positive_negatives_share_one_path;tests/test_ui_coverage.py::test_c152_c153_c154_recompute_rules,删除·v2已覆盖,"assert pos0[""designer_expected""] == hand_val"
tests/test_designer_expected.py::test_mux_assign_key_stable,mux 取值键与插入顺序无关、值变即键变（引擎）,C-114,,保留·非GUI,assert k1 == k2 and k1 != k3
tests/test_designer_expected.py::test_apply_mux_expected,apply_mux_expected 按键对号入座、对不上的丢弃（引擎）,C-114,,保留·非GUI,assert v_pos.designer_expected == 7 and v_pos.asserted_value == 7；assert v_neg.designer_expected is None
